"Index.year","Reference.year..main.","Protocol.order","Country","categoria","valor","col"
2013,2010,0,"EU","Gender.Equality.Index",63.1,"black"
2013,2010,1,"BE","Gender.Equality.Index",69.3,"white"
2013,2010,2,"BG","Gender.Equality.Index",55,"black"
2013,2010,3,"CZ","Gender.Equality.Index",55.6,"black"
2013,2010,4,"DK","Gender.Equality.Index",75.2,"white"
2013,2010,5,"DE","Gender.Equality.Index",62.6,"black"
2013,2010,6,"EE","Gender.Equality.Index",53.4,"black"
2013,2010,7,"IE","Gender.Equality.Index",65.4,"black"
2013,2010,8,"EL","Gender.Equality.Index",48.6,"black"
2013,2010,9,"ES","Gender.Equality.Index",66.4,"white"
2013,2010,10,"FR","Gender.Equality.Index",67.5,"white"
2013,2010,11,"HR","Gender.Equality.Index",52.3,"black"
2013,2010,12,"IT","Gender.Equality.Index",53.3,"black"
2013,2010,13,"CY","Gender.Equality.Index",49,"black"
2013,2010,14,"LV","Gender.Equality.Index",55.2,"black"
2013,2010,15,"LT","Gender.Equality.Index",54.9,"black"
2013,2010,16,"LU","Gender.Equality.Index",61.2,"black"
2013,2010,17,"HU","Gender.Equality.Index",52.4,"black"
2013,2010,18,"MT","Gender.Equality.Index",54.4,"black"
2013,2010,19,"NL","Gender.Equality.Index",74,"white"
2013,2010,20,"AT","Gender.Equality.Index",58.7,"black"
2013,2010,21,"PL","Gender.Equality.Index",55.5,"black"
2013,2010,22,"PT","Gender.Equality.Index",53.7,"black"
2013,2010,23,"RO","Gender.Equality.Index",50.8,"black"
2013,2010,24,"SI","Gender.Equality.Index",62.7,"black"
2013,2010,25,"SK","Gender.Equality.Index",53,"black"
2013,2010,26,"FI","Gender.Equality.Index",73.1,"white"
2013,2010,27,"SE","Gender.Equality.Index",80.1,"white"
2015,2012,0,"EU","Gender.Equality.Index",64.4,"black"
2015,2012,1,"BE","Gender.Equality.Index",70.2,"white"
2015,2012,2,"BG","Gender.Equality.Index",56.9,"black"
2015,2012,3,"CZ","Gender.Equality.Index",56.7,"black"
2015,2012,4,"DK","Gender.Equality.Index",75.6,"white"
2015,2012,5,"DE","Gender.Equality.Index",64.9,"black"
2015,2012,6,"EE","Gender.Equality.Index",53.5,"black"
2015,2012,7,"IE","Gender.Equality.Index",67.7,"white"
2015,2012,8,"EL","Gender.Equality.Index",50.1,"black"
2015,2012,9,"ES","Gender.Equality.Index",67.4,"white"
2015,2012,10,"FR","Gender.Equality.Index",68.9,"white"
2015,2012,11,"HR","Gender.Equality.Index",52.6,"black"
2015,2012,12,"IT","Gender.Equality.Index",56.5,"black"
2015,2012,13,"CY","Gender.Equality.Index",50.6,"black"
2015,2012,14,"LV","Gender.Equality.Index",56.2,"black"
2015,2012,15,"LT","Gender.Equality.Index",54.2,"black"
2015,2012,16,"LU","Gender.Equality.Index",65.9,"black"
2015,2012,17,"HU","Gender.Equality.Index",51.8,"black"
2015,2012,18,"MT","Gender.Equality.Index",57.8,"black"
2015,2012,19,"NL","Gender.Equality.Index",74,"white"
2015,2012,20,"AT","Gender.Equality.Index",61.3,"black"
2015,2012,21,"PL","Gender.Equality.Index",56.9,"black"
2015,2012,22,"PT","Gender.Equality.Index",54.4,"black"
